,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
181,辽宁,抚顺,0,1,0,1,0.00,100.00
182,辽宁,朝阳市,0,6,1,5,16.67,83.33
183,辽宁,沈阳,0,78,0,78,0.00,100.00
184,辽宁,葫芦岛,0,12,1,11,8.33,91.67
185,辽宁,鞍山,0,4,0,4,0.00,100.00
186,辽宁,锦州,0,12,0,12,0.00,100.00
187,辽宁,盘锦,0,11,0,11,0.00,100.00
188,辽宁,阜新,0,8,0,8,0.00,100.00
189,辽宁,本溪,0,3,0,3,0.00,100.00
190,辽宁,辽阳,0,3,0,3,0.00,100.00
191,陕西,境外输入,4,460,0,444,0.00,96.52
192,陕西,西安,2,140,3,132,2.14,94.29
193,陕西,咸阳,0,18,0,17,0.00,94.44
194,陕西,韩城,0,1,0,1,0.00,100.00
195,陕西,地区待确认,0,0,0,0,0.00,0.00
196,陕西,汉中,0,26,0,26,0.00,100.00
197,陕西,杨凌,0,1,0,1,0.00,100.00
198,陕西,渭南,0,17,0,17,0.00,100.00
199,陕西,榆林,0,3,0,3,0.00,100.00
200,陕西,商洛,0,7,0,7,0.00,100.00
201,陕西,铜川,0,8,0,8,0.00,100.00
202,陕西,延安,0,8,0,8,0.00,100.00
203,陕西,宝鸡,0,13,0,13,0.00,100.00
204,陕西,安康,0,26,0,26,0.00,100.00
205,福建,境外输入,0,565,0,546,0.00,96.64
206,福建,厦门,0,275,0,275,0.00,100.00
207,福建,漳州,0,23,0,23,0.00,100.00
208,福建,地区待确认,0,0,0,0,0.00,0.00
209,福建,莆田,0,261,0,261,0.00,100.00
210,福建,泉州,0,71,0,71,0.00,100.00
211,福建,宁德,0,26,0,26,0.00,100.00
212,福建,龙岩,0,6,0,6,0.00,100.00
213,福建,南平,0,20,0,20,0.00,100.00
214,福建,三明,0,14,0,14,0.00,100.00
215,福建,福州,0,72,1,71,1.39,98.61
216,天津,境外输入,0,390,0,374,0.00,95.90
217,天津,宁河区,0,4,0,4,0.00,100.00
218,天津,北辰区,0,7,0,7,0.00,100.00
219,天津,宝坻区,0,60,2,58,3.33,96.67
220,天津,河北区,0,12,0,12,0.00,100.00
221,天津,津南区,0,2,0,2,0.00,100.00
222,天津,南开区,0,6,0,6,0.00,100.00
223,天津,河东区,0,15,1,14,6.67,93.33
224,天津,滨海新区,0,13,0,13,0.00,100.00
225,天津,和平区,0,6,0,6,0.00,100.00
226,天津,外地来津,0,6,0,6,0.00,100.00
227,天津,武清区,0,2,0,2,0.00,100.00
228,天津,东丽区,0,4,0,4,0.00,100.00
229,天津,河西区,0,4,0,4,0.00,100.00
230,天津,西青区,0,4,0,4,0.00,100.00
231,天津,红桥区,0,2,0,2,0.00,100.00
232,北京,境外输入,0,313,0,260,0.00,83.07
233,北京,昌平,0,69,0,32,0.00,46.38
234,北京,海淀,0,90,0,82,0.00,91.11
235,北京,房山,0,25,0,20,0.00,80.00
236,北京,丰台,0,277,0,273,0.00,98.56
237,北京,朝阳,0,83,0,80,0.00,96.39
238,北京,外地来京,0,26,0,25,0.00,96.15
239,北京,顺义,0,45,0,45,0.00,100.00
240,北京,怀柔,0,8,0,8,0.00,100.00
241,北京,通州,0,20,9,11,45.00,55.00
242,北京,大兴,0,134,0,134,0.00,100.00
243,北京,石景山,0,15,0,15,0.00,100.00
244,北京,延庆,0,1,0,1,0.00,100.00
245,北京,密云,0,7,0,7,0.00,100.00
246,北京,门头沟,0,5,0,5,0.00,100.00
247,北京,东城,0,19,0,19,0.00,100.00
248,北京,西城,0,59,0,59,0.00,100.00
249,北京,地区待确认,0,2,0,103,0.00,5150.00
250,吉林,境外输入,1,31,0,24,0.00,77.42
251,吉林,吉林,0,50,1,49,2.00,98.00
252,吉林,通化,0,313,1,312,0.32,99.68
253,吉林,长春,0,150,0,150,0.00,100.00
254,吉林,松原,0,6,0,6,0.00,100.00
255,吉林,四平,0,17,1,16,5.88,94.12
256,吉林,白城,0,1,0,1,0.00,100.00
257,吉林,公主岭,0,6,0,6,0.00,100.00
258,吉林,辽源,0,7,0,7,0.00,100.00
259,吉林,延边,0,5,0,5,0.00,100.00
260,吉林,梅河口市,0,1,0,1,0.00,100.00
261,河北,石家庄,0,963,1,957,0.10,99.38
262,河北,沧州,0,49,3,46,6.12,93.88
263,河北,辛集市,0,71,0,71,0.00,100.00
264,河北,邢台,0,96,1,95,1.04,98.96
265,河北,保定,0,51,0,51,0.00,100.00
266,河北,境外输入,0,37,0,37,0.00,100.00
267,河北,廊坊,0,33,0,33,0.00,100.00
268,河北,地区待确认,0,0,0,0,0.00,0.00
269,河北,张家口,0,43,0,43,0.00,100.00
270,河北,唐山,0,58,1,57,1.72,98.28
271,河北,邯郸,0,32,0,32,0.00,100.00
272,河北,承德,0,7,0,7,0.00,100.00
273,河北,衡水,0,8,0,8,0.00,100.00
274,河北,秦皇岛,0,10,1,9,10.00,90.00
275,山西,境外输入,0,127,0,123,0.00,96.85
276,山西,晋中,0,41,0,41,0.00,100.00
277,山西,太原,0,21,0,21,0.00,100.00
278,山西,大同,0,12,0,12,0.00,100.00
279,山西,运城,0,19,0,19,0.00,100.00
280,山西,忻州,0,7,0,7,0.00,100.00
281,山西,晋城,0,10,0,10,0.00,100.00
282,山西,长治,0,8,0,8,0.00,100.00
283,山西,朔州,0,8,0,8,0.00,100.00
284,山西,临汾,0,2,0,2,0.00,100.00
285,山西,阳泉,0,4,0,4,0.00,100.00
286,山西,吕梁,0,6,0,6,0.00,100.00
287,湖北,境外输入,0,87,0,83,0.00,95.40
288,湖北,孝感,0,3518,129,3389,3.67,96.33
289,湖北,荆门,0,971,41,930,4.22,95.78
290,湖北,荆州,0,1582,52,1530,3.29,96.71
291,湖北,武汉,0,50380,3869,46511,7.68,92.32
292,湖北,黄冈,0,2912,125,2787,4.29,95.71
293,湖北,鄂州,0,1395,59,1336,4.23,95.77
294,湖北,十堰,0,672,8,664,1.19,98.81
295,湖北,宜昌,0,931,37,894,3.97,96.03
296,湖北,天门,0,498,15,483,3.01,96.99
297,湖北,仙桃,0,575,22,553,3.83,96.17
298,湖北,黄石,0,1015,39,976,3.84,96.16
299,湖北,襄阳,0,1175,40,1135,3.40,96.60
300,湖北,潜江,0,198,9,189,4.55,95.45
301,湖北,恩施州,0,252,7,245,2.78,97.22
302,湖北,神农架,0,11,0,11,0.00,100.00
303,湖北,随州,0,1307,45,1262,3.44,96.56
304,湖北,咸宁,0,836,15,821,1.79,98.21
305,江苏,境外输入,0,165,0,163,0.00,98.79
306,江苏,南京,0,330,0,329,0.00,99.70
307,江苏,盐城,0,27,0,27,0.00,100.00
308,江苏,扬州,0,593,0,593,0.00,100.00
309,江苏,地区待确认,0,0,0,0,0.00,0.00
310,江苏,淮安,0,78,0,78,0.00,100.00
311,江苏,宿迁,0,16,0,16,0.00,100.00
312,江苏,常州,0,54,0,54,0.00,100.00
313,江苏,南通,0,40,0,40,0.00,100.00
314,江苏,苏州,0,87,0,87,0.00,100.00
315,江苏,无锡,0,55,0,55,0.00,100.00
316,江苏,徐州,0,79,0,79,0.00,100.00
317,江苏,连云港,0,48,0,48,0.00,100.00
318,江苏,镇江,0,12,0,12,0.00,100.00
319,江苏,泰州,0,37,0,37,0.00,100.00
320,重庆,长寿区,0,24,0,22,0.00,91.67
